Line	OP	L	M
0	jmp	0	32
1	jmp	0	23
2	jmp	0	14
3	jmp	0	4
4	inc	0	6
5	lit	0	1
6	sto	0	5
7	lod	0	4
8	lod	0	5
9	opr	0	2
10	lod	3	8
11	opr	0	2
12	sto	2	4
13	opr	0	0
14	inc	0	7
15	lod	1	4
16	lod	1	6
17	opr	0	2
18	lod	2	8
19	opr	0	2
20	sto	0	4
21	cal	0	3
22	opr	0	0
23	inc	0	8
24	lit	0	2
25	sto	1	6
26	lod	1	6
27	lod	1	8
28	opr	0	2
29	sto	0	6
30	cal	0	2
31	opr	0	0
32	inc	0	9
33	lit	0	1
34	sto	0	4
35	lit	0	2
36	sto	0	5
37	lit	0	3
38	sto	0	6
39	lit	0	4
40	sto	0	7
41	lit	0	5
42	sto	0	8
43	lod	0	7
44	lod	0	8
45	opr	0	2
46	sto	0	4
47	lod	0	6
48	sio	0	0
49	cal	0	1
50	opr	0	0
51	sio	0	2
					pc	bp	sp	stack
Initial Values		0	1	0
0	jmp	0	32		32	1	0	
32	inc	0	9		33	1	9	0 0 0 0 0 0 0 0 0 
33	lit	0	1		34	1	10	0 0 0 0 0 0 0 0 0 1 
34	sto	0	4		35	1	9	0 0 0 0 1 0 0 0 0 
35	lit	0	2		36	1	10	0 0 0 0 1 0 0 0 0 2 
36	sto	0	5		37	1	9	0 0 0 0 1 2 0 0 0 
37	lit	0	3		38	1	10	0 0 0 0 1 2 0 0 0 3 
38	sto	0	6		39	1	9	0 0 0 0 1 2 3 0 0 
39	lit	0	4		40	1	10	0 0 0 0 1 2 3 0 0 4 
40	sto	0	7		41	1	9	0 0 0 0 1 2 3 4 0 
41	lit	0	5		42	1	10	0 0 0 0 1 2 3 4 0 5 
42	sto	0	8		43	1	9	0 0 0 0 1 2 3 4 5 
43	lod	0	7		44	1	10	0 0 0 0 1 2 3 4 5 4 
44	lod	0	8		45	1	11	0 0 0 0 1 2 3 4 5 4 5 
45	opr	0	2		46	1	10	0 0 0 0 1 2 3 4 5 9 
46	sto	0	4		47	1	9	0 0 0 0 9 2 3 4 5 
47	lod	0	6		48	1	10	0 0 0 0 9 2 3 4 5 3 
48	sio	0	0		49	1	9	0 0 0 0 9 2 3 4 5 
49	cal	0	1		1	10	9	0 0 0 0 9 2 3 4 5 
1	jmp	0	23		23	10	9	0 0 0 0 9 2 3 4 5 
23	inc	0	8		24	10	17	0 0 0 0 9 2 3 4 5 | 0 1 1 50 0 0 0 0 
24	lit	0	2		25	10	18	0 0 0 0 9 2 3 4 5 | 0 1 1 50 0 0 0 0 2 
25	sto	1	6		26	10	17	0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 0 0 
26	lod	1	6		27	10	18	0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 0 0 2 
27	lod	1	8		28	10	19	0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 0 0 2 5 
28	opr	0	2		29	10	18	0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 0 0 7 
29	sto	0	6		30	10	17	0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 
30	cal	0	2		2	18	17	0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 
2	jmp	0	14		14	18	17	0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 
14	inc	0	7		15	18	24	0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 0 0 0 
15	lod	1	4		16	18	25	0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 0 0 0 0 
16	lod	1	6		17	18	26	0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 0 0 0 0 7 
17	opr	0	2		18	18	25	0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 0 0 0 7 
18	lod	2	8		19	18	26	0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 0 0 0 7 5 
19	opr	0	2		20	18	25	0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 0 0 0 12 
20	sto	0	4		21	18	24	0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0 
21	cal	0	3		3	25	24	0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0 
3	jmp	0	4		4	25	24	0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0 
4	inc	0	6		5	25	30	0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0 | 0 18 18 22 0 0 
5	lit	0	1		6	25	31	0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0 | 0 18 18 22 0 0 1 
6	sto	0	5		7	25	30	0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0 | 0 18 18 22 0 1 
7	lod	0	4		8	25	31	0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0 | 0 18 18 22 0 1 0 
8	lod	0	5		9	25	32	0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0 | 0 18 18 22 0 1 0 1 
9	opr	0	2		10	25	31	0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0 | 0 18 18 22 0 1 1 
10	lod	3	8		11	25	32	0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0 | 0 18 18 22 0 1 1 5 
11	opr	0	2		12	25	31	0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0 | 0 18 18 22 0 1 6 
12	sto	2	4		13	25	30	0 0 0 0 9 2 2 4 5 | 0 1 1 50 6 0 7 0 | 0 10 10 31 12 0 0 | 0 18 18 22 0 1 
13	opr	0	0		22	18	24	0 0 0 0 9 2 2 4 5 | 0 1 1 50 6 0 7 0 | 0 10 10 31 12 0 0 
22	opr	0	0		31	10	17	0 0 0 0 9 2 2 4 5 | 0 1 1 50 6 0 7 0 
31	opr	0	0		50	1	9	0 0 0 0 9 2 2 4 5 
50	opr	0	0		51	1	9	0 0 0 0 9 2 2 4 5 
51	sio	0	2		52	1	9	0 0 0 0 9 2 2 4 5 
